gene	nr_patients	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	In_Frame_Ins	Missense_Mutation	Nonsense_Mutation	Nonstop_Mutation	Splice_Site	Translation_Start_Site
HLA-B	83.0	9.0	6.0	1.0	0.0	39.0	15.0	0.0	13.0	0.0
RBM15	95.0	11.0	3.0	0.0	0.0	75.0	6.0	0.0	0.0	0.0
RCBTB1	33.0	1.0	0.0	0.0	0.0	30.0	1.0	0.0	1.0	0.0
PLLP	14.0	1.0	0.0	1.0	0.0	11.0	0.0	0.0	1.0	0.0
IGLJ7	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
CACNA2D1	229.0	2.0	2.0	1.0	0.0	194.0	19.0	1.0	10.0	0.0
SDHB	23.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0
IGLV9-49	10.0	0.0	0.0	0.0	0.0	8.0	2.0	0.0	0.0	0.0
MRPL11	21.0	1.0	0.0	0.0	0.0	18.0	1.0	0.0	1.0	0.0
EEF1E1	14.0	1.0	0.0	0.0	0.0	12.0	1.0	0.0	0.0	0.0
BCOR	261.0	20.0	9.0	1.0	0.0	194.0	33.0	0.0	4.0	0.0
GBA	56.0	0.0	0.0	0.0	0.0	52.0	4.0	0.0	0.0	0.0
SEC11A	12.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0
TTF1	83.0	8.0	4.0	3.0	0.0	60.0	6.0	0.0	2.0	0.0
MAPKBP1	127.0	6.0	0.0	0.0	0.0	108.0	9.0	0.0	4.0	0.0
TTC3	182.0	14.0	3.0	0.0	0.0	146.0	14.0	0.0	5.0	0.0
BPNT1	28.0	0.0	0.0	0.0	0.0	26.0	0.0	0.0	2.0	0.0
ARSI	65.0	4.0	0.0	0.0	0.0	56.0	4.0	1.0	0.0	0.0
DIPK1B	30.0	0.0	1.0	0.0	0.0	25.0	3.0	0.0	1.0	0.0
OBSL1	155.0	5.0	3.0	1.0	0.0	134.0	9.0	0.0	3.0	0.0
TIGD1	5.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0
ALDH2	36.0	3.0	2.0	0.0	0.0	27.0	2.0	0.0	2.0	0.0
PPCDC	9.0	1.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0
PPP1R32	59.0	1.0	1.0	0.0	0.0	53.0	2.0	0.0	2.0	0.0
RAB3B	20.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	1.0	0.0
NUDCD2	10.0	1.0	0.0	0.0	0.0	7.0	0.0	0.0	2.0	0.0
TAF5L	59.0	1.0	0.0	0.0	0.0	54.0	4.0	0.0	0.0	0.0
DPT	29.0	0.0	0.0	0.0	0.0	24.0	3.0	0.0	2.0	0.0
ACADM	43.0	2.0	0.0	0.0	0.0	34.0	3.0	0.0	4.0	0.0
HERC2	490.0	15.0	4.0	4.0	0.0	420.0	31.0	0.0	16.0	0.0
SLAIN1	39.0	2.0	0.0	0.0	0.0	35.0	1.0	0.0	1.0	0.0
RAX	29.0	0.0	1.0	0.0	0.0	25.0	1.0	0.0	2.0	0.0
FLVCR1	41.0	0.0	1.0	1.0	0.0	33.0	3.0	0.0	3.0	0.0
MRPL32	31.0	0.0	0.0	0.0	0.0	26.0	5.0	0.0	0.0	0.0
ARL6	17.0	0.0	0.0	0.0	0.0	14.0	1.0	0.0	2.0	0.0
PTPRD	476.0	6.0	1.0	1.0	0.0	423.0	31.0	0.0	14.0	0.0
KIRREL1	109.0	5.0	0.0	0.0	0.0	92.0	7.0	0.0	5.0	0.0
MADCAM1	15.0	2.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0
NPHS2	59.0	1.0	0.0	0.0	0.0	48.0	6.0	0.0	4.0	0.0
MED4	25.0	1.0	0.0	1.0	0.0	21.0	1.0	1.0	0.0	0.0
OR4K1	143.0	7.0	1.0	0.0	0.0	123.0	11.0	1.0	0.0	0.0
SMIM17	2.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0
IGLL1	21.0	1.0	0.0	0.0	0.0	17.0	1.0	0.0	1.0	1.0
DIS3L	82.0	5.0	0.0	0.0	0.0	65.0	8.0	0.0	4.0	0.0
CPXM1	100.0	1.0	2.0	0.0	0.0	85.0	8.0	0.0	4.0	0.0
SLC6A15	119.0	2.0	1.0	0.0	0.0	108.0	5.0	0.0	2.0	1.0
CAPN3	77.0	1.0	0.0	0.0	0.0	64.0	5.0	1.0	6.0	0.0
KCNS2	89.0	3.0	0.0	1.0	0.0	81.0	4.0	0.0	0.0	0.0
KHDRBS1	45.0	1.0	0.0	2.0	0.0	38.0	2.0	0.0	2.0	0.0
SUSD2	82.0	2.0	0.0	1.0	0.0	72.0	4.0	0.0	3.0	0.0
TECRL	134.0	2.0	2.0	0.0	0.0	115.0	9.0	0.0	6.0	0.0
IFNA4	27.0	0.0	0.0	0.0	0.0	26.0	1.0	0.0	0.0	0.0
P2RY11	16.0	0.0	0.0	1.0	0.0	14.0	1.0	0.0	0.0	0.0
CRTC2	72.0	6.0	0.0	0.0	0.0	61.0	3.0	0.0	2.0	0.0
PLXDC2	129.0	1.0	0.0	1.0	0.0	109.0	13.0	0.0	5.0	0.0
ROPN1	22.0	1.0	0.0	0.0	0.0	19.0	2.0	0.0	0.0	0.0
MTHFD1L	79.0	3.0	0.0	0.0	0.0	67.0	7.0	0.0	2.0	0.0
GMEB1	46.0	0.0	0.0	0.0	0.0	42.0	2.0	0.0	2.0	0.0
CARD6	138.0	3.0	4.0	0.0	0.0	123.0	7.0	0.0	1.0	0.0
CRYAB	17.0	0.0	0.0	0.0	0.0	14.0	2.0	0.0	1.0	0.0
FAM161B	42.0	1.0	0.0	0.0	0.0	37.0	3.0	0.0	1.0	0.0
TMCO5A	44.0	2.0	1.0	0.0	0.0	35.0	2.0	0.0	4.0	0.0
RHBDL1	30.0	0.0	0.0	0.0	0.0	29.0	1.0	0.0	0.0	0.0
LDLRAD1	22.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	1.0	0.0
GNG2	15.0	2.0	0.0	0.0	0.0	12.0	1.0	0.0	0.0	0.0
ZBED6CL	24.0	0.0	0.0	0.0	0.0	22.0	2.0	0.0	0.0	0.0
SCAMP4	12.0	1.0	0.0	0.0	0.0	9.0	1.0	0.0	1.0	0.0
SIGLECL1	47.0	1.0	0.0	0.0	0.0	44.0	1.0	0.0	1.0	0.0
MCM6	81.0	3.0	0.0	0.0	0.0	68.0	5.0	1.0	4.0	0.0
PIANP	23.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0
PNPLA2	20.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0
PPP1R11	11.0	0.0	0.0	0.0	0.0	8.0	1.0	0.0	2.0	0.0
ZNF418	86.0	2.0	0.0	0.0	0.0	78.0	6.0	0.0	0.0	0.0
MMRN1	187.0	7.0	0.0	0.0	0.0	161.0	18.0	0.0	0.0	1.0
F2	77.0	2.0	1.0	0.0	0.0	67.0	4.0	0.0	2.0	1.0
RAB39A	22.0	0.0	1.0	0.0	0.0	20.0	1.0	0.0	0.0	0.0
PDIA2	44.0	2.0	0.0	0.0	0.0	38.0	3.0	0.0	1.0	0.0
SYNE3	117.0	3.0	1.0	0.0	0.0	101.0	10.0	0.0	2.0	0.0
IFT22	12.0	0.0	0.0	0.0	0.0	11.0	1.0	0.0	0.0	0.0
ATP6V1E1	19.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	3.0	0.0
RAPH1	89.0	2.0	2.0	0.0	0.0	80.0	3.0	0.0	2.0	0.0
H3F3A	25.0	0.0	0.0	0.0	0.0	23.0	2.0	0.0	0.0	0.0
PAPSS2	61.0	3.0	2.0	0.0	0.0	50.0	4.0	0.0	2.0	0.0
ZNF28	88.0	4.0	0.0	0.0	0.0	77.0	6.0	0.0	1.0	0.0
CBR3	10.0	0.0	0.0	0.0	0.0	9.0	1.0	0.0	0.0	0.0
GLOD5	17.0	0.0	0.0	0.0	0.0	15.0	2.0	0.0	0.0	0.0
NANOS1	4.0	0.0	0.0	0.0	0.0	3.0	1.0	0.0	0.0	0.0
MFSD11	43.0	0.0	0.0	0.0	0.0	32.0	5.0	0.0	6.0	0.0
MTA3	38.0	1.0	1.0	0.0	0.0	32.0	4.0	0.0	0.0	0.0
NLRC3	113.0	2.0	0.0	0.0	0.0	108.0	1.0	0.0	2.0	0.0
APOC3	11.0	0.0	0.0	0.0	0.0	10.0	1.0	0.0	0.0	0.0
CCBE1	76.0	1.0	0.0	0.0	0.0	69.0	4.0	0.0	2.0	0.0
KLHL6	96.0	2.0	0.0	0.0	0.0	83.0	8.0	1.0	2.0	0.0
SHC3	66.0	0.0	2.0	0.0	0.0	60.0	3.0	0.0	1.0	0.0
PDE5A	69.0	2.0	1.0	0.0	0.0	56.0	3.0	1.0	6.0	0.0
BCL2L1	17.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0
LTK	68.0	3.0	1.0	0.0	0.0	57.0	4.0	0.0	3.0	0.0
MAD2L2	13.0	1.0	0.0	0.0	0.0	11.0	0.0	0.0	1.0	0.0
MCOLN3	66.0	2.0	0.0	1.0	0.0	60.0	3.0	0.0	0.0	0.0
FAF1	59.0	2.0	1.0	1.0	0.0	47.0	6.0	0.0	2.0	0.0
WASF1	52.0	0.0	0.0	0.0	0.0	47.0	4.0	0.0	1.0	0.0
SNN	8.0	0.0	0.0	0.0	0.0	7.0	1.0	0.0	0.0	0.0
ENO4	10.0	4.0	2.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0
TUBB6	48.0	0.0	1.0	0.0	0.0	46.0	1.0	0.0	0.0	0.0
PALMD	65.0	2.0	2.0	0.0	0.0	58.0	2.0	0.0	1.0	0.0
ZNF213	38.0	0.0	0.0	0.0	0.0	35.0	3.0	0.0	0.0	0.0
SPDL1	58.0	3.0	0.0	1.0	0.0	48.0	4.0	0.0	1.0	1.0
COA1	9.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	1.0	0.0
BRAP	44.0	0.0	1.0	0.0	0.0	40.0	2.0	0.0	1.0	0.0
HMG20B	16.0	0.0	0.0	2.0	0.0	13.0	0.0	0.0	1.0	0.0
OVGP1	77.0	0.0	1.0	1.0	0.0	72.0	2.0	0.0	1.0	0.0
OR51V1	90.0	0.0	0.0	0.0	0.0	86.0	4.0	0.0	0.0	0.0
IVL	102.0	3.0	0.0	1.0	0.0	93.0	4.0	0.0	1.0	0.0
MTERF4	39.0	3.0	0.0	0.0	0.0	32.0	4.0	0.0	0.0	0.0
TIMMDC1	41.0	0.0	2.0	0.0	0.0	30.0	7.0	0.0	2.0	0.0
LIMS2	41.0	1.0	0.0	0.0	0.0	37.0	3.0	0.0	0.0	0.0
PDHX	35.0	0.0	0.0	0.0	0.0	33.0	2.0	0.0	0.0	0.0
TP53BP2	118.0	9.0	2.0	1.0	0.0	89.0	10.0	0.0	7.0	0.0
PGAM4	34.0	1.0	0.0	0.0	0.0	29.0	4.0	0.0	0.0	0.0
ENPP2	114.0	2.0	0.0	0.0	0.0	101.0	8.0	0.0	3.0	0.0
ALDH7A1	40.0	0.0	0.0	0.0	0.0	34.0	2.0	0.0	4.0	0.0
THG1L	23.0	2.0	0.0	0.0	0.0	18.0	1.0	0.0	2.0	0.0
HP	30.0	2.0	1.0	0.0	0.0	26.0	1.0	0.0	0.0	0.0
DCDC2B	24.0	1.0	0.0	0.0	0.0	20.0	2.0	0.0	1.0	0.0
THEM6	2.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0
ARHGAP20	125.0	3.0	1.0	0.0	0.0	115.0	6.0	0.0	0.0	0.0
TNIP3	70.0	1.0	1.0	0.0	1.0	56.0	7.0	0.0	4.0	0.0
GLYATL1	81.0	1.0	0.0	0.0	0.0	69.0	7.0	1.0	3.0	0.0
CD1B	93.0	0.0	0.0	0.0	0.0	83.0	9.0	0.0	1.0	0.0
SRC	42.0	1.0	0.0	0.0	0.0	36.0	3.0	0.0	1.0	1.0
ZSCAN5A	60.0	1.0	0.0	0.0	0.0	54.0	4.0	1.0	0.0	0.0
PKN1	81.0	6.0	0.0	1.0	0.0	70.0	4.0	0.0	0.0	0.0
AXL	117.0	1.0	3.0	0.0	0.0	109.0	3.0	0.0	1.0	0.0
TRPS1	291.0	10.0	8.0	4.0	0.0	246.0	22.0	0.0	0.0	1.0
VMO1	16.0	1.0	0.0	0.0	0.0	14.0	1.0	0.0	0.0	0.0
PATE2	17.0	0.0	0.0	0.0	0.0	15.0	1.0	0.0	1.0	0.0
HSD17B4	77.0	3.0	1.0	2.0	0.0	60.0	3.0	0.0	8.0	0.0
XXYLT1	41.0	0.0	1.0	1.0	0.0	36.0	3.0	0.0	0.0	0.0
SLC15A4	47.0	1.0	1.0	0.0	0.0	39.0	6.0	0.0	0.0	0.0
FAM186B	56.0	5.0	2.0	3.0	0.0	43.0	1.0	0.0	1.0	1.0
TJP2	94.0	0.0	3.0	0.0	0.0	79.0	8.0	0.0	4.0	0.0
ERLIN1	19.0	0.0	0.0	0.0	0.0	16.0	2.0	0.0	1.0	0.0
FHL3	22.0	1.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0
DDX39B	41.0	0.0	0.0	1.0	0.0	35.0	4.0	0.0	1.0	0.0
LINC01620	2.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0
KRT39	47.0	1.0	0.0	0.0	0.0	43.0	3.0	0.0	0.0	0.0
PODNL1	27.0	1.0	0.0	0.0	0.0	24.0	2.0	0.0	0.0	0.0
KRTAP4-7	18.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0
TRIM28	68.0	0.0	1.0	1.0	0.0	59.0	3.0	0.0	4.0	0.0
NETO1	167.0	1.0	1.0	0.0	0.0	138.0	22.0	0.0	5.0	0.0
PDE1C	224.0	4.0	0.0	0.0	0.0	197.0	13.0	0.0	10.0	0.0
ABCA9	202.0	9.0	5.0	0.0	0.0	155.0	20.0	0.0	13.0	0.0
HOXA4	31.0	1.0	0.0	0.0	0.0	29.0	1.0	0.0	0.0	0.0
IGHV3-38	32.0	0.0	1.0	0.0	0.0	30.0	1.0	0.0	0.0	0.0
SCN5A	358.0	6.0	2.0	0.0	0.0	332.0	16.0	0.0	2.0	0.0
ALDH4A1	46.0	0.0	0.0	0.0	0.0	41.0	3.0	0.0	2.0	0.0
OPLAH	98.0	3.0	5.0	0.0	0.0	84.0	5.0	0.0	1.0	0.0
PDXDC2P	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0
DOK7	33.0	4.0	1.0	0.0	0.0	27.0	0.0	0.0	1.0	0.0
SLC30A1	50.0	4.0	0.0	2.0	0.0	42.0	2.0	0.0	0.0	0.0
NUCB2	30.0	0.0	0.0	0.0	0.0	28.0	2.0	0.0	0.0	0.0
CALY	8.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	2.0	0.0
PHF20L1	135.0	12.0	5.0	0.0	0.0	97.0	16.0	1.0	4.0	0.0
FTHL17	49.0	1.0	0.0	0.0	0.0	45.0	1.0	0.0	0.0	2.0
BPIFB4	108.0	1.0	0.0	2.0	0.0	97.0	4.0	0.0	4.0	0.0
CXCR5	27.0	2.0	0.0	0.0	0.0	24.0	0.0	0.0	0.0	1.0
ASMTL	77.0	2.0	2.0	0.0	0.0	64.0	3.0	0.0	6.0	0.0
SRP72	60.0	4.0	3.0	1.0	0.0	46.0	2.0	0.0	4.0	0.0
BOC	137.0	4.0	1.0	0.0	0.0	119.0	8.0	0.0	5.0	0.0
SLC17A5	45.0	3.0	3.0	0.0	0.0	35.0	2.0	0.0	2.0	0.0
THEMIS2	48.0	4.0	0.0	1.0	0.0	39.0	4.0	0.0	0.0	0.0
SDS	30.0	2.0	1.0	0.0	0.0	24.0	3.0	0.0	0.0	0.0
PRPF3	62.0	1.0	0.0	0.0	0.0	56.0	3.0	2.0	0.0	0.0
SLC25A11	25.0	0.0	1.0	0.0	0.0	24.0	0.0	0.0	0.0	0.0
ENTPD7	52.0	1.0	0.0	0.0	0.0	48.0	3.0	0.0	0.0	0.0
CREB1	14.0	2.0	0.0	0.0	0.0	11.0	0.0	1.0	0.0	0.0
CCSER1	121.0	2.0	1.0	0.0	0.0	107.0	8.0	0.0	3.0	0.0
SUPT20H	80.0	4.0	2.0	1.0	0.0	62.0	8.0	0.0	3.0	0.0
BRSK1	100.0	8.0	2.0	0.0	0.0	84.0	4.0	0.0	2.0	0.0
OMA1	41.0	0.0	0.0	0.0	0.0	36.0	4.0	0.0	1.0	0.0
TRAV12-1	24.0	0.0	0.0	0.0	0.0	22.0	1.0	0.0	1.0	0.0
SYNPO2	193.0	3.0	0.0	1.0	0.0	173.0	15.0	0.0	1.0	0.0
RBP1	19.0	1.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0
WNT5B	48.0	0.0	0.0	0.0	0.0	46.0	2.0	0.0	0.0	0.0
AHNAK2	720.0	26.0	4.0	2.0	1.0	657.0	30.0	0.0	0.0	0.0
IRF2BPL	38.0	1.0	0.0	0.0	0.0	35.0	2.0	0.0	0.0	0.0
PNMA1	24.0	1.0	0.0	1.0	0.0	22.0	0.0	0.0	0.0	0.0
GPR68	28.0	0.0	0.0	1.0	0.0	26.0	1.0	0.0	0.0	0.0
RGS19	14.0	0.0	0.0	2.0	0.0	12.0	0.0	0.0	0.0	0.0
ZNF311	51.0	3.0	0.0	0.0	0.0	44.0	4.0	0.0	0.0	0.0
ZNF324	48.0	2.0	0.0	0.0	0.0	41.0	5.0	0.0	0.0	0.0
FIBP	28.0	2.0	1.0	1.0	0.0	20.0	3.0	0.0	1.0	0.0
GATB	63.0	1.0	2.0	0.0	0.0	53.0	5.0	0.0	1.0	1.0
ASTE1	52.0	0.0	1.0	1.0	0.0	47.0	3.0	0.0	0.0	0.0
HLX	76.0	0.0	0.0	0.0	0.0	73.0	3.0	0.0	0.0	0.0
SPATA16	125.0	2.0	4.0	0.0	0.0	113.0	5.0	0.0	0.0	1.0
CATSPER4	55.0	2.0	0.0	0.0	0.0	50.0	2.0	0.0	1.0	0.0
RGS8	33.0	2.0	0.0	0.0	0.0	31.0	0.0	0.0	0.0	0.0
SLC7A8	53.0	0.0	1.0	0.0	0.0	45.0	3.0	1.0	3.0	0.0
EFNB1	34.0	0.0	0.0	0.0	0.0	33.0	1.0	0.0	0.0	0.0
EEF1AKMT2	16.0	1.0	0.0	0.0	0.0	8.0	5.0	2.0	0.0	0.0
RHO	44.0	1.0	0.0	1.0	0.0	41.0	1.0	0.0	0.0	0.0
ATL3	46.0	0.0	2.0	0.0	0.0	38.0	3.0	0.0	2.0	1.0
COX7C	7.0	1.0	0.0	0.0	0.0	4.0	2.0	0.0	0.0	0.0
OLIG1	2.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0
MOSPD2	46.0	2.0	0.0	0.0	0.0	37.0	4.0	0.0	3.0	0.0
TFAP2E	22.0	0.0	1.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0
SEPTIN6	56.0	1.0	0.0	0.0	0.0	46.0	5.0	1.0	3.0	0.0
FGF7	33.0	3.0	0.0	0.0	0.0	24.0	4.0	1.0	0.0	1.0
RNF6	66.0	5.0	0.0	0.0	0.0	48.0	12.0	0.0	1.0	0.0
CBLN1	27.0	1.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0	0.0
SOD1	17.0	0.0	0.0	0.0	0.0	14.0	2.0	0.0	1.0	0.0
OR51A7	83.0	2.0	0.0	0.0	0.0	77.0	3.0	1.0	0.0	0.0
NCOA6	184.0	8.0	0.0	0.0	0.0	152.0	23.0	0.0	1.0	0.0
LAYN	37.0	1.0	0.0	0.0	0.0	35.0	0.0	0.0	1.0	0.0
FSD1L	10.0	1.0	0.0	0.0	0.0	7.0	1.0	0.0	1.0	0.0
EXOC5	44.0	2.0	0.0	0.0	0.0	32.0	5.0	0.0	5.0	0.0
C5AR1	44.0	1.0	0.0	1.0	0.0	40.0	2.0	0.0	0.0	0.0
HOXC13	37.0	0.0	0.0	0.0	0.0	35.0	2.0	0.0	0.0	0.0
NFIC	47.0	4.0	0.0	0.0	0.0	40.0	2.0	0.0	1.0	0.0
TDRKH	48.0	0.0	0.0	0.0	0.0	42.0	4.0	0.0	2.0	0.0
DIPK1A	13.0	0.0	1.0	0.0	0.0	11.0	1.0	0.0	0.0	0.0
ASCL2	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
CYP3A7	68.0	2.0	0.0	1.0	0.0	52.0	11.0	0.0	2.0	0.0
SMCO3	20.0	0.0	0.0	0.0	0.0	18.0	2.0	0.0	0.0	0.0
GFPT2	94.0	2.0	2.0	2.0	0.0	77.0	9.0	0.0	2.0	0.0
STAG2	223.0	27.0	9.0	2.0	0.0	109.0	58.0	0.0	18.0	0.0
ROBO4	158.0	6.0	1.0	1.0	0.0	138.0	8.0	0.0	4.0	0.0
FBXO11	76.0	2.0	3.0	0.0	0.0	68.0	1.0	0.0	2.0	0.0
ABCC1	147.0	3.0	2.0	1.0	1.0	126.0	10.0	0.0	4.0	0.0
COX17	6.0	0.0	0.0	0.0	0.0	5.0	0.0	1.0	0.0	0.0
DNALI1	20.0	0.0	0.0	1.0	0.0	18.0	0.0	0.0	1.0	0.0
COPRS	8.0	0.0	0.0	0.0	0.0	6.0	2.0	0.0	0.0	0.0
TRGJP2	6.0	0.0	0.0	0.0	0.0	5.0	1.0	0.0	0.0	0.0
GLRA4	64.0	2.0	0.0	0.0	0.0	57.0	3.0	0.0	2.0	0.0
PRMT8	66.0	4.0	0.0	0.0	0.0	57.0	3.0	0.0	2.0	0.0
MFSD2A	38.0	1.0	0.0	1.0	0.0	32.0	1.0	0.0	3.0	0.0
C21ORF62-AS1	2.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0
ATP6V0C	6.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0
GHDC	40.0	2.0	0.0	1.0	0.0	34.0	2.0	0.0	1.0	0.0
MAGEB4	84.0	5.0	0.0	0.0	0.0	71.0	8.0	0.0	0.0	0.0
PFN1	15.0	0.0	1.0	0.0	0.0	13.0	0.0	0.0	1.0	0.0
OR51S1	104.0	0.0	0.0	0.0	0.0	100.0	4.0	0.0	0.0	0.0
PHIP	163.0	6.0	2.0	2.0	0.0	134.0	13.0	0.0	6.0	0.0
TRAPPC4	13.0	0.0	0.0	1.0	0.0	12.0	0.0	0.0	0.0	0.0
CHIC2	13.0	1.0	1.0	0.0	0.0	9.0	1.0	0.0	1.0	0.0
SRR	22.0	1.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0
CCL2	17.0	1.0	0.0	0.0	0.0	15.0	1.0	0.0	0.0	0.0
C1ORF226	18.0	1.0	1.0	0.0	0.0	15.0	1.0	0.0	0.0	0.0
PRSS8	17.0	0.0	0.0	1.0	0.0	15.0	0.0	0.0	1.0	0.0
BCAN	154.0	3.0	0.0	0.0	0.0	145.0	5.0	0.0	1.0	0.0
XRCC3	18.0	0.0	1.0	0.0	1.0	16.0	0.0	0.0	0.0	0.0
ZNF714	75.0	2.0	0.0	1.0	0.0	59.0	11.0	0.0	2.0	0.0
PXMP2	15.0	1.0	0.0	1.0	0.0	10.0	2.0	0.0	1.0	0.0
BCL6	92.0	5.0	1.0	1.0	0.0	83.0	2.0	0.0	0.0	0.0
CT47B1	114.0	1.0	1.0	0.0	0.0	105.0	6.0	0.0	1.0	0.0
ADAMTS4	97.0	1.0	1.0	0.0	0.0	89.0	4.0	0.0	2.0	0.0
PNKP	44.0	2.0	1.0	0.0	0.0	38.0	1.0	0.0	2.0	0.0
NPFFR1	16.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0
RAB35	16.0	0.0	0.0	0.0	0.0	13.0	3.0	0.0	0.0	0.0
RSPO3	31.0	0.0	0.0	0.0	0.0	25.0	6.0	0.0	0.0	0.0
MIXL1	18.0	1.0	0.0	0.0	0.0	16.0	1.0	0.0	0.0	0.0
ERMARD	63.0	2.0	2.0	0.0	0.0	50.0	8.0	0.0	1.0	0.0
RPL4	31.0	0.0	0.0	0.0	0.0	31.0	0.0	0.0	0.0	0.0
TRAV13-1	18.0	1.0	0.0	0.0	0.0	15.0	2.0	0.0	0.0	0.0
C21ORF91	27.0	4.0	1.0	1.0	0.0	18.0	3.0	0.0	0.0	0.0
TRPC4AP	68.0	1.0	1.0	1.0	0.0	61.0	4.0	0.0	0.0	0.0
RFPL4AL1	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
DBNDD2	16.0	1.0	0.0	0.0	0.0	14.0	0.0	0.0	1.0	0.0
PMAIP1	4.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0
PLRG1	55.0	1.0	0.0	0.0	0.0	47.0	3.0	0.0	4.0	0.0
POFUT1	31.0	1.0	0.0	0.0	0.0	29.0	1.0	0.0	0.0	0.0
PROKR1	58.0	0.0	0.0	0.0	0.0	57.0	1.0	0.0	0.0	0.0
EEF1AKMT3	18.0	1.0	1.0	0.0	0.0	14.0	0.0	0.0	2.0	0.0
DES	44.0	0.0	0.0	0.0	0.0	41.0	2.0	0.0	1.0	0.0
PPBP	19.0	0.0	0.0	0.0	0.0	18.0	0.0	1.0	0.0	0.0
VCX	38.0	0.0	0.0	0.0	0.0	35.0	2.0	1.0	0.0	0.0
